TAGID,wave,session_date
TAG001,wave_1_scheduling_arm_1,2016-01-13
TAG001,wave_2_scheduling_arm_1,2017-07-22
TAG001,wave_3_scheduling_arm_1,2019-01-17
TAG001,wave_4_scheduling_arm_1,2021-01-11
TAG002,wave_1_scheduling_arm_1,2016-01-08
TAG002,wave_2_scheduling_arm_1,2017-07-27
TAG002,sos_arm_1,2020-03-07
TAG002,wave_3_scheduling_arm_1,2019-01-02
TAG002,wave_4_scheduling_arm_1,2021-01-07
TAG003,wave_1_scheduling_arm_1,2016-08-15
TAG003,wave_2_scheduling_arm_1,2018-03-05
TAG003,sos_arm_1,2019-02-03
TAG003,wave_3_scheduling_arm_1,2019-08-28
TAG004,wave_1_scheduling_arm_1,2016-01-12
TAG004,wave_2_scheduling_arm_1,2017-07-12
TAG004,wave_3_scheduling_arm_1,2019-01-07
TAG005,wave_1_scheduling_arm_1,2016-10-14
TAG005,wave_2_scheduling_arm_1,2018-04-16
TAG005,sos_arm_1,2020-04-05
TAG005,wave_3_scheduling_arm_1,2019-09-30
TAG006,wave_1_scheduling_arm_1,2016-06-14
TAG007,wave_1_scheduling_arm_1,2016-06-22
TAG007,wave_2_scheduling_arm_1,2018-01-16
TAG007,sos_arm_1,2018-11-03
TAG007,wave_3_scheduling_arm_1,2019-07-24
TAG008,wave_1_scheduling_arm_1,2016-01-18
TAG008,wave_2_scheduling_arm_1,2017-07-25
TAG008,wave_3_scheduling_arm_1,2019-01-12
TAG008,wave_4_scheduling_arm_1,2021-01-08
TAG009,wave_1_scheduling_arm_1,2016-09-30
TAG009,wave_2_scheduling_arm_1,2018-04-27
TAG009,sos_arm_1,2020-04-04
TAG009,wave_3_scheduling_arm_1,2019-10-16
TAG010,wave_1_scheduling_arm_1,2016-07-23
TAG010,wave_2_scheduling_arm_1,2018-02-17
TAG010,wave_3_scheduling_arm_1,2019-08-10
TAG010,wave_4_scheduling_arm_1,2021-05-01
TAG011,wave_1_scheduling_arm_1,2016-07-14
TAG011,wave_2_scheduling_arm_1,2018-03-09
TAG011,wave_3_scheduling_arm_1,2019-09-04
TAG011,wave_4_scheduling_arm_1,2021-09-25
TAG012,wave_1_scheduling_arm_1,2017-02-25
TAG013,wave_1_scheduling_arm_1,2016-02-15
TAG014,wave_1_scheduling_arm_1,2016-12-10
TAG014,wave_2_scheduling_arm_1,2018-07-09
TAG014,wave_3_scheduling_arm_1,2019-12-17
TAG015,wave_1_scheduling_arm_1,2016-04-24
TAG015,wave_2_scheduling_arm_1,2018-03-29
TAG015,wave_3_scheduling_arm_1,2019-11-30
TAG016,wave_1_scheduling_arm_1,2016-02-20
TAG016,wave_2_scheduling_arm_1,2017-09-21
TAG016,wave_3_scheduling_arm_1,2019-03-21
TAG016,wave_4_scheduling_arm_1,2021-02-12
TAG017,wave_1_scheduling_arm_1,2016-12-03
TAG017,wave_2_scheduling_arm_1,2018-07-30
TAG017,sos_arm_1,2019-05-19
TAG017,wave_3_scheduling_arm_1,2020-02-16
TAG018,wave_1_scheduling_arm_1,2016-01-15
TAG018,wave_2_scheduling_arm_1,2017-10-18
TAG018,wave_3_scheduling_arm_1,2019-07-31
TAG019,wave_1_scheduling_arm_1,2016-01-22
TAG019,wave_2_scheduling_arm_1,2017-09-11
TAG019,sos_arm_1,2018-12-01
TAG019,wave_3_scheduling_arm_1,2019-04-12
TAG019,wave_4_scheduling_arm_1,2021-01-12
TAG020,wave_1_scheduling_arm_1,2016-01-21
TAG020,wave_2_scheduling_arm_1,2017-08-22
TAG020,sos_arm_1,2018-11-18
TAG020,wave_3_scheduling_arm_1,2019-03-01
TAG020,wave_4_scheduling_arm_1,2021-01-20
TAG022,wave_1_scheduling_arm_1,2016-01-28
TAG022,wave_2_scheduling_arm_1,2017-08-22
TAG022,wave_3_scheduling_arm_1,2019-02-18
TAG022,wave_4_scheduling_arm_1,2021-04-12
TAG023,wave_1_scheduling_arm_1,2015-12-14
TAG023,wave_2_scheduling_arm_1,2017-10-09
TAG024,wave_1_scheduling_arm_1,2017-06-27
TAG024,wave_2_scheduling_arm_1,2018-11-08
TAG024,sos_arm_1,2019-07-23
TAG024,wave_3_scheduling_arm_1,2021-01-27
TAG025,wave_1_scheduling_arm_1,2016-01-25
TAG026,wave_1_scheduling_arm_1,2016-02-05
TAG026,wave_2_scheduling_arm_1,2017-08-01
TAG026,wave_3_scheduling_arm_1,2019-01-04
TAG026,wave_4_scheduling_arm_1,2021-01-13
TAG027,wave_1_scheduling_arm_1,2016-06-27
TAG027,wave_2_scheduling_arm_1,2018-01-11
TAG027,sos_arm_1,2019-01-20
TAG027,wave_3_scheduling_arm_1,2019-07-10
TAG028,wave_1_scheduling_arm_1,2016-01-18
TAG028,wave_2_scheduling_arm_1,2018-01-23
TAG028,wave_3_scheduling_arm_1,2019-08-22
TAG029,wave_1_scheduling_arm_1,2016-12-03
TAG030,wave_1_scheduling_arm_1,2016-01-29
TAG030,wave_2_scheduling_arm_1,2017-07-19
TAG030,sos_arm_1,2018-10-06
TAG030,wave_3_scheduling_arm_1,2019-02-18
TAG030,wave_4_scheduling_arm_1,2021-04-06
TAG032,wave_1_scheduling_arm_1,2016-01-23
TAG032,wave_2_scheduling_arm_1,2018-01-19
TAG032,sos_arm_1,2019-02-10
TAG032,wave_3_scheduling_arm_1,2019-08-02
TAG032,wave_4_scheduling_arm_1,2021-08-13
TAG033,wave_1_scheduling_arm_1,2016-02-06
TAG033,wave_2_scheduling_arm_1,2017-08-14
TAG033,sos_arm_1,2020-04-11
TAG033,wave_3_scheduling_arm_1,2019-03-26
TAG033,wave_4_scheduling_arm_1,2021-02-08
TAG034,wave_1_scheduling_arm_1,2016-02-26
TAG034,wave_2_scheduling_arm_1,2017-09-12
TAG034,sos_arm_1,2018-11-10
TAG034,wave_3_scheduling_arm_1,2019-03-14
TAG034,wave_4_scheduling_arm_1,2021-02-10
